,Untuned MAE,Untuned RMSE,XGBoost Tuned MAE,XGBoost Tuned RMSE,XGBoost Tuned Params,XGBoost CV Std,RF Tuned MAE,RF Tuned RMSE,RF Tuned Params,RF CV Std
Baseline (Mean),2.5006313698133176,3.41286925075757,0.8002213749136465,1.6865110232216733,,0.004131142064568145,0.7897522048134835,1.6945003695251915,,0.003921151797080596
Random Forest (Untuned),0.817543451112039,1.8126303614257706,0.8002213749136465,1.6865110232216733,,0.004131142064568145,0.7897522048134835,1.6945003695251915,,0.003921151797080596
SVM (Untuned),0.9644381784002064,2.1243166476300805,0.8002213749136465,1.6865110232216733,,0.004131142064568145,0.7897522048134835,1.6945003695251915,,0.003921151797080596
k-NN (Untuned),1.1115812149864255,2.383455541296445,0.8002213749136465,1.6865110232216733,,0.004131142064568145,0.7897522048134835,1.6945003695251915,,0.003921151797080596
XGBoost (Untuned),0.800505705494832,1.7023472573692833,0.8002213749136465,1.6865110232216733,,0.004131142064568145,0.7897522048134835,1.6945003695251915,,0.003921151797080596
